state,month,lockdown_period,avg_severity
KY,5,after_lockdown,1.0533376963350785
KY,7,before_lockdown,1.4327577184720042
ME,1,before_lockdown,1.3836696822083043
MI,4,before_lockdown,1.3408743829243173
MN,3,after_lockdown,0.5269340974212035
MO,8,before_lockdown,1.2864578018165118
MS,5,before_lockdown,1.437254259501966
MS,8,after_lockdown,1.1279163314561544
MS,9,after_lockdown,0.885815374718559
MT,12,after_lockdown,1.2727495407225964
NC,3,after_lockdown,1.1421795465062472
NC,11,before_lockdown,1.1648761835396941
NH,3,after_lockdown,0.5300220056585979
NJ,6,after_lockdown,1.050007430524595
NY,1,before_lockdown,1.1066597730702588
NY,2,after_lockdown,0.493738536044655
OR,1,after_lockdown,1.2031949655088952
PA,7,before_lockdown,1.3040402752995157
PA,12,after_lockdown,0.7465856408971306
RI,7,after_lockdown,1.036978756884343
RI,10,after_lockdown,0.7372288313505948
UT,6,before_lockdown,1.2392926505162016
UT,7,before_lockdown,1.2118933697881067
VT,5,after_lockdown,1.0983935742971886
VT,10,after_lockdown,1.2027491408934707
WV,1,before_lockdown,1.4857142857142858
WV,5,after_lockdown,1.1237677984665937
WV,9,before_lockdown,1.5178510710642639
WV,10,before_lockdown,1.4905810559830193
AL,7,after_lockdown,1.2086416099437705
AR,3,before_lockdown,1.572820790471034
AR,11,before_lockdown,1.4625964441462596
CT,12,before_lockdown,1.17795761722009
DC,10,after_lockdown,0.3455139847439157
DE,10,before_lockdown,1.0461819844535893
FL,4,after_lockdown,0.7261997574497574
FL,10,after_lockdown,0.6883569199735241
FL,12,before_lockdown,0.7775785145656547
GA,11,after_lockdown,1.036556348691326
IN,7,after_lockdown,1.2598021253206302
IN,9,after_lockdown,1.2170655567117585
KY,8,after_lockdown,1.1114823281167576
LA,4,after_lockdown,0.8563804740229164
MD,6,before_lockdown,1.1874253447714194
ME,2,after_lockdown,1.0593348450491307
ME,8,before_lockdown,1.1990813648293963
MN,9,after_lockdown,0.8508077288565093
MO,10,after_lockdown,1.0216511533791988
NC,12,before_lockdown,1.1618862663081366
ND,11,before_lockdown,1.1774349083895854
ND,12,before_lockdown,1.337864077669903
NV,3,before_lockdown,1.5355006900782089
NV,8,after_lockdown,1.2978187919463087
PA,12,before_lockdown,0.977932304565949
SC,4,before_lockdown,1.2295984134853744
SD,6,before_lockdown,1.4339771383523847
SD,12,after_lockdown,0.9585062240663901
TN,3,before_lockdown,1.314029446606871
TX,4,after_lockdown,0.9803828508147445
VA,6,after_lockdown,1.193348054098813
WA,11,before_lockdown,1.1005324716697766
WI,7,after_lockdown,0.9130355181252289
WI,10,after_lockdown,0.9137931034482759
WV,4,after_lockdown,1.1762391817466562
WV,6,after_lockdown,1.0285941223193011
AZ,6,before_lockdown,1.0916688261207568
CO,7,after_lockdown,1.2164750957854407
CT,1,after_lockdown,0.9266692396758008
CT,7,after_lockdown,1.4348345588235294
CT,8,before_lockdown,1.391978863220649
DC,9,before_lockdown,1.0698898994734323
FL,3,after_lockdown,0.5920555777805966
GA,8,before_lockdown,1.0660846791793976
IA,7,after_lockdown,0.9055555555555556
ID,5,after_lockdown,0.992552471225457
IL,7,before_lockdown,1.0758087753765553
IN,5,before_lockdown,1.3334963325183373
KS,4,after_lockdown,1.1072664359861593
KY,6,after_lockdown,1.0723981900452488
LA,2,after_lockdown,0.8803365233951257
LA,9,after_lockdown,0.8163765915196822
MA,1,after_lockdown,0.5953829078801331
MA,5,after_lockdown,1.1324205578829059
MA,8,after_lockdown,1.0893689381534197
MD,1,before_lockdown,1.218208335670612
MD,3,before_lockdown,1.2553718348110872
ME,5,after_lockdown,1.0212224108658743
ME,12,after_lockdown,0.9560830860534124
MI,2,before_lockdown,1.274475796013461
MI,10,after_lockdown,1.0433869273652743
MS,6,after_lockdown,0.8937644341801386
MS,10,after_lockdown,0.9234135667396062
MS,11,after_lockdown,1.0730079265748853
NC,4,before_lockdown,1.2752440623633978
NC,9,after_lockdown,1.0957731407169609
ND,10,after_lockdown,1.0826636050516647
NE,12,after_lockdown,0.9230980499862675
OK,5,after_lockdown,1.0790878214459
OR,3,before_lockdown,1.5027022158169698
PA,4,after_lockdown,1.2377203290246768
PA,9,before_lockdown,1.2237551695616211
TN,9,before_lockdown,1.1801319043693321
TN,12,after_lockdown,1.012922173274596
VA,1,after_lockdown,0.8643894978332909
WA,5,after_lockdown,1.2130256002122297
WI,4,after_lockdown,0.9424484364604125
WI,12,before_lockdown,1.2483300589390962
WY,2,before_lockdown,1.658126582278481
AL,2,before_lockdown,1.274738564416305
CO,6,after_lockdown,1.179639943012563
CO,7,before_lockdown,1.231011218920558
FL,1,after_lockdown,0.5784199067993306
FL,5,after_lockdown,0.8020474803636043
FL,8,before_lockdown,0.9518882372716746
GA,12,after_lockdown,1.0642763157894737
IA,2,before_lockdown,1.4266441821247893
