state,month,year,lockdown_period,avg_congestion
LA,4,2021,after_lockdown,1.0023017902813298
LA,12,2020,after_lockdown,0.7029208301306688
MA,6,2021,after_lockdown,1.116342732001095
MA,9,2021,after_lockdown,1.1194325305179809
MD,3,2020,after_lockdown,0.9750830564784053
ME,11,2019,before_lockdown,1.010556621880998
ME,11,2020,after_lockdown,1.21875
MI,1,2020,after_lockdown,0.9818249953157204
MN,1,2019,before_lockdown,1.3083170890188434
MN,5,2021,after_lockdown,0.9602446483180428
MN,7,2020,after_lockdown,0.7926798054773484
MS,9,2020,after_lockdown,0.6825749167591565
MT,4,2019,before_lockdown,1.693446088794926
MT,4,2021,after_lockdown,1.356578947368421
MT,6,2021,after_lockdown,1.5103652517275419
MT,12,2020,after_lockdown,1.5072463768115942
NC,3,2018,before_lockdown,1.3317203524483605
NC,11,2019,before_lockdown,0.9294014084507042
NE,6,2018,before_lockdown,1.621542330259849
NE,10,2020,after_lockdown,1.1588594704684319
NJ,5,2021,after_lockdown,1.1338179415166034
NJ,10,2021,after_lockdown,1.0137714423773858
NM,8,2021,after_lockdown,0.9827586206896551
NV,10,2020,after_lockdown,0.4992957746478873
NY,1,2018,before_lockdown,1.12989204508578
OK,3,2020,after_lockdown,0.9091880341880342
OR,4,2021,after_lockdown,1.3348088531187123
OR,8,2020,after_lockdown,1.1378947368421053
PA,7,2019,before_lockdown,1.0013090013090014
PA,10,2021,after_lockdown,1.2251438889515855
PA,11,2019,before_lockdown,0.8461593324299266
SC,6,2020,after_lockdown,1.1113831089351285
SC,12,2021,after_lockdown,1.2215717839894629
TN,3,2021,after_lockdown,0.7673638161443039
TN,7,2018,before_lockdown,1.5499212598425196
WA,5,2019,before_lockdown,1.063237774030354
WA,9,2021,after_lockdown,1.1513094083414162
WI,1,2019,before_lockdown,1.1126269956458636
WI,2,2021,after_lockdown,0.5795856493178373
WI,9,2020,after_lockdown,0.7941483803552769
WI,12,2018,before_lockdown,1.2480345911949686
WV,2,2019,before_lockdown,1.479783243017924
WV,3,2020,after_lockdown,1.3032928942807627
WY,1,2021,after_lockdown,1.5582047685834501
